59.9	0.03	59.95	0.01	44.11	9.62
50.38	0.11	55.0	3.16	35.94	1.44
42.5	1.57	46.82	3.04	38.42	1.12
39.65	2.87	43.69	2.82	43.67	1.34
50.05	1.16	49.19	1.31	51.62	2.25
